title,year,rating
Bade Miyan Chote Miyan,2024,3.8
Singham Again,2024,4.8
Yodha,2024,5.7
Fighter,2024,6.2
Merry Christmas,2024,6.9
Kya Masti Kya Dhoom,2023,3.3
Majbooriyan,2023,5.3
Fire of Love: RED,2023,3.8
Kaisi Ye Dor,2023,5.6
Bad Boy,2023,5
Mrs.,2023,6.8
Khichdi 2: Mission Paanthukistan,2023,1
Ganapath,2023,2
Sajini Shinde Ka Viral Video,2023,2
Farrey,2023,2
Tejas,2023,2.7
Almost Pyaar with DJ Mohabbat,2023,3.3
Sukhee,2023,3.7
Mumbaikar,2023,4
Operation Mayfair,2023,4
Neeyat,2023,4.3
Pippa,2023,4.5
Yaariyan 2,2023,5
U-Turn,2023,5.1
Adipurush,2023,5.3
Mrs. Chatterjee Vs Norway,2023,5.3
Thank You For Coming,2023,5.3
Lust Stories 2,2023,5.4
Shehzada,2023,5.4
Chhatriwali,2023,5.4
Apurva,2023,5.5
Trial Period,2023,5.5
Kisi Ka Bhai... Kisi Ki Jaan,2023,5.7
Selfiee,2023,5.7
Kuttey,2023,5.8
Tarla,2023,5.8
Tiger 3,2023,5.9
Mission Raniganj,2023,5.9
Aankh Micholi,2023,5.9
Khufiya,2023,6
Friday Night Plan,2023,6
Bawaal,2023,6
Dhak Dhak,2023,6
Gulmohar,2023,6
Fukrey 3,2023,6.1
Gumraah,2023,6.1
Kathal,2023,6.1
Rocky Aur Rani Kii Prem Kahaani,2023,6.2
Kadak Singh,2023,6.3
Haddi,2023,6.3
Tu Jhoothi Main Makkaar,2023,6.4
Bholaa,2023,6.4
Dream Girl 2,2023,6.4
Zara Hatke Zara Bachke,2023,6.5
Pathaan,2023,6.6
Gadar 2,2023,6.6
Joram,2023,6.6
Bloody Daddy,2023,6.7
12th Fail,2023,6.7
Mission Majnu,2023,6.8
Tiku Weds Sheru,2023,6.8
IB 71,2023,6.9
Jaane Jaan,2023,7
Mast Mein Rehne Ka,2023,7
Satyaprem Ki Katha,2023,7
Sirf Ek Bandaa Kaafi Hai,2023,7
The Archies,2023,7.1
Chor Nikal Ke Bhaga,2023,7.2
Jawan,2023,7.3
Kho Gaye Hum Kahan,2023,7.3
Animal,2023,7.4
OMG 2,2023,7.4
The Vaccine War,2023,7.5
Kennedy,2023,7.5
Tumse Na Ho Payega,2023,7.7
Sam Bahadur,2023,8.5
Ghoomer,2023,8.5
Zakir Khan: Mann Pasand,2023,8.5
Mankhurd,2023,8.9
Dunki,2023,10
Dangerous,2022,1
Cirkus,2022,4.2
Dhaakad,2022,4.6
Love Hostel,2022,4.9
Ram Setu,2022,5
Govinda Naam Mera,2022,5.2
Dhokha: Round D Corner,2022,5.2
Double XL,2022,5.2
Bachchhan Paandey,2022,5.3
Phone Bhoot,2022,5.3
Dasvi,2022,5.5
Dobaaraa,2022,5.5
Cuttputlli,2022,5.7
Rashtra Kavach Om,2022,5.7
JugJugg Jeeyo,2022,5.7
Raksha Bandhan,2022,6
Jayeshbhai Jordaar,2022,6
Gehraiyaan,2022,6
Uunchai,2022,6
Maja Ma,2022,6
Babli Bouncer,2022,6
Looop Lapeta,2022,6.1
Bhool Bhulaiyaa 2,2022,6.2
A Thursday,2022,6.2
Anek,2022,6.2
Operation Romeo,2022,6.2
Plan A Plan B,2022,6.2
Thar,2022,6.2
Ek Villain Returns,2022,6.3
Doctor G,2022,6.3
An Action Hero,2022,6.3
Mili,2022,6.3
Runway 34,2022,6.4
Cobalt Blue,2022,6.4
Jalsa,2022,6.4
Laal Singh Chaddha,2022,6.5
Qala,2022,6.5
Bhediya,2022,6.5
Chup,2022,6.5
Brahmāstra Part One: Shiva,2022,6.6
Jaadugar,2022,6.6
All That Breathes,2022,6.8
Badhaai Do,2022,6.8
Thank God,2022,6.8
Jogi,2022,6.8
Sharmaji Namkeen,2022,6.8
Janhit Mein Jaari,2022,6.8
Darlings,2022,6.9
Vikram Vedha,2022,6.9
Freddy,2022,7
Jersey,2022,7
36 Farmhouse,2022,7
The Kashmir Files,2022,7.1
"Monica, O My Darling",2022,7.1
Samrat Prithviraj,2022,7.2
Attack,2022,7.3
Gangubai Kathiawadi,2022,7.4
Kaun Pravin Tambe?,2022,7.4
Toolsidas Junior,2022,7.5
Drishyam 2,2022,8
Goodbye,2022,8
Jungle Cry,2022,8.3
Roohi,2021,4.3
Radhe,2021,4.5
Toofaan,2021,4.9
99 Songs,2021,5
Meenakshi Sundareshwar,2021,5.3
The Big Bull,2021,5.3
State of Siege: Temple Attack,2021,5.3
Bhoot Police,2021,5.4
Hungama 2,2021,5.4
Satyameva Jayate 2,2021,5.4
Mumbai Saga,2021,5.6
Dybbuk,2021,5.6
Hum Do Hamare Do,2021,5.7
Sooryavanshi,2021,5.8
Madam Chief Minister,2021,5.8
The Girl on the Train,2021,5.9
Chandigarh Kare Aashiqui,2021,6.1
Bhuj: The Pride of India,2021,6.2
Silence... Can You Hear It?,2021,6.2
Chhorii,2021,6.3
Bell Bottom,2021,6.4
Sherni,2021,6.4
Ajeeb Daastaans,2021,6.5
Haseen Dillruba,2021,6.5
Sandeep Aur Pinky Faraar,2021,6.5
Nail Polish,2021,6.5
Ankahi Kahaniya,2021,6.5
Chehre,2021,6.6
